data1,data3,data2,"Compare 2,3","Compare 1,2","Compare 1,3",reverse data3,"Compare 1, reverse 3",reverse data2,"Compare 1,reverse 2"
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,1,0,1,0,1,1,0,0
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,0,1,0,0,1,1,0,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,1,0,1,0,1,1,0,0
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,1,0,1,0,1,1,0,0
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,1,0,1,0,1,1,0,0
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,0,0,1,0,0,1,1,0
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,1,0,1,0,1,1,0,0
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,0,0,1,0,0,1,1,0
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,1,0,1,0,1,1,0,0
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,1,0,1,0,1,1,0,0
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,1,0,1,0,1,1,0,0
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,1,0,1,0,1,1,0,0
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,1,0,1,0,1,1,0,0
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
0,1,1,1,0,0,0,1,0,1
0,1,1,1,0,0,0,1,0,1
1,0,0,1,0,0,1,1,1,1
,,,518,12,1,,530,,519
